New Run at  07/13/2017 20:13:27
, Time, RandomReward; N_LinUCBReward; 
data,1304596447971,40;6999;240
data,1304596447107,40;2855;241
data,1304596447938,40;9485;241
data,1304596447197,40;6702;242
data,1304596447954,40;3103;243
data,1304596447988,40;1016;244
data,1304596447288,40;9653;245
data,1304596447164,40;7197;246
data,1304596448138,40;7430;247
data,1304596448046,40;1101;247
data,1304596448154,40;8375;247
data,1304596448096,40;10107;247
data,1304596448063,40;3127;248
data,1304596448121,40;9367;249
data,1304596448029,40;5224;250
data,1304596448079,40;914;250
data,1304596448712,40;3275;251
data,1304596448013,40;245;252
data,1304596449570,40;3103;253
data,1304596449669,40;9653;254
data,1304596449636,40;7430;255
data,1304596450735,40;3095;255
data,1304596450723,40;3103;256
data,1304596450851,40;4327;256
data,1304596450835,40;8435;257
data,1304596450793,40;10177;257
data,1304596450244,40;3127;258
data,1304596450818,40;131;259
data,1304596450190,40;516;260
data,1304596450210,40;8435;261
data,1304596451393,40;1350;261
data,1304596453865,40;1016;262
data,1304596453832,40;6999;263
data,1304596453940,40;5536;263
data,1304596453973,40;7197;264
data,1304596453898,40;4313;264
data,1304596453815,40;5408;264
data,1304596453956,40;2855;265
data,1304596454023,40;6702;266
data,1304596454006,40;9141;266
data,1304596454065,40;6724;266
data,1304596455056,40;6999;267
data,1304596455088,40;6702;268
data,1304596455030,40;7197;269
data,1304596455014,40;9180;270
data,1304596455986,40;2111;271
data,1304596455072,40;6670;272
data,1304596455163,40;971;272
data,1304596456096,40;9802;272
data,1304596456112,40;9653;273
data,1304596456021,40;9802;273
data,1304596456079,40;7430;274
data,1304596458131,40;2111;275
data,1304596458194,40;3095;275
data,1304596458378,40;7197;276
data,1304596458393,40;6702;277
data,1304596458486,40;7430;278
data,1304596459127,40;6702;279
data,1304596459192,40;7430;280
data,1304596459079,40;2111;281
data,1304596459101,40;7160;281
data,1304596459209,40;9653;282
data,1304596459176,40;7205;282
data,1304596460233,40;4453;282
data,1304596460325,41;8788;282
data,1304596460341,41;566;282
data,1304596460217,41;5470;283
data,1304596460266,41;2855;284
data,1304596460283,41;7197;285
data,1304596460400,41;3868;285
data,1304596460125,41;9180;286
data,1304596460175,41;1168;286
data,1304596461199,41;7775;286
data,1304596461090,41;8820;286
data,1304596461215,41;6907;286
data,1304596461057,41;3103;287
data,1304596461182,41;8435;288
data,1304596461041,41;2111;289
data,1304596461787,41;6702;290
data,1304596461074,41;9180;291
data,1304596462417,41;2111;292
data,1304596462581,42;9653;293
data,1304596462547,42;7430;294
data,1304596462481,42;6702;295
data,1304596463257,42;10414;295
data,1304596463289,42;9653;296
data,1304596463272,42;5470;297
data,1304596463231,42;4915;297
data,1304596463164,42;76;297
data,1304596463198,42;6702;298
data,1304596463142,42;2111;299
data,1304596464697,42;1016;300
data,1304596465653,43;3127;301
data,1304596465575,43;2111;302
data,1304596467368,43;516;303
data,1304596467476,43;5856;303
data,1304596467385,43;10460;303
data,1304596467460,44;9490;303
data,1304596467351,45;7197;304
data,1304596468367,45;8503;304
data,1304596468307,45;9180;305
data,1304596468384,45;8665;305
data,1304596471272,45;3127;306
data,1304596471197,45;2111;307
data,1304596471214,45;6702;308
data,1304596471289,45;9653;309
data,1304596471231,45;8435;310
data,1304596471257,45;8502;310
data,1304596472879,45;6702;311
data,1304596472813,45;2111;312
data,1304596472970,45;7430;313
data,1304596472912,45;10516;313
data,1304596473004,45;9653;314
data,1304596474266,45;7566;314
