New Run at  07/13/2017 20:06:14
, Time, RandomReward; Master_UniformLCBReward; 
data,1285884000000,14;3423;99
data,1285884000000,14;7911;100
data,1285884000000,14;1661;100
data,1285884000000,14;2763;100
data,1285884000000,14;7942;101
data,1285884000000,14;7950;101
data,1285884000000,14;7321;101
data,1285884000000,14;1882;101
data,1285884000000,14;228;101
data,1285884000000,15;5324;101
data,1285884000000,15;1549;102
data,1288566000000,15;4750;103
data,1288566000000,16;8005;104
data,1288566000000,16;8012;105
data,1288566000000,16;4453;105
data,1288566000000,16;3213;106
data,1288566000000,16;2707;106
data,1288566000000,16;8049;107
data,1288566000000,16;4131;108
data,1291158000000,16;5275;108
data,1291158000000,16;8078;108
data,1291158000000,16;8086;108
data,1291158000000,16;4157;108
data,1291158000000,16;5205;108
data,1291158000000,16;4628;108
data,1291158000000,16;5576;109
data,1291158000000,16;8134;109
data,1291158000000,16;7753;110
data,1291158000000,16;5903;110
data,1291158000000,16;4596;111
data,1291158000000,16;8171;112
data,1291158000000,16;4182;113
data,1291158000000,16;1341;114
data,1291158000000,16;1391;114
data,1291158000000,16;8209;115
data,1291158000000,16;8218;116
data,1291158000000,16;2013;116
data,1291158000000,16;8240;116
data,1291158000000,16;8258;116
data,1291158000000,16;8263;117
data,1293836400000,16;8276;117
data,1293836400000,16;3891;118
data,1293836400000,16;5292;118
data,1293836400000,16;8304;119
data,1293836400000,16;8263;120
data,1293836400000,16;8320;120
data,1293836400000,17;4324;120
data,1293836400000,17;1350;120
data,1293836400000,17;8339;121
data,1293836400000,18;5900;121
data,1293836400000,18;4154;121
data,1293836400000,18;5612;121
data,1293836400000,18;8376;121
data,1293836400000,18;4826;121
data,1293836400000,18;4816;121
data,1293836400000,18;3477;121
data,1293836400000,18;3874;121
data,1293836400000,19;2247;121
data,1293836400000,19;3061;121
data,1296514800000,19;1866;121
data,1296514800000,19;7630;121
data,1298934000000,20;3039;121
data,1298934000000,21;8450;121
data,1298934000000,21;8460;122
data,1298934000000,21;109;122
data,1304596135526,21;8481;122
data,1246399200000,21;8304;123
data,1246399200000,22;2215;123
data,1246399200000,22;4131;124
data,1246399200000,22;5033;125
data,1246399200000,22;4131;126
data,1246399200000,23;8263;127
data,1246399200000,23;7950;128
data,1246399200000,23;4131;129
data,1251756000000,23;8544;130
data,1251756000000,23;8304;131
data,1251756000000,23;1857;131
data,1251756000000,23;8304;132
data,1251756000000,23;8171;132
data,1251756000000,23;5068;132
data,1251756000000,23;1335;132
data,1254348000000,24;4674;132
data,1254348000000,24;4131;133
data,1254348000000,24;6199;133
data,1254348000000,24;8633;133
data,1254348000000,24;8640;133
data,1254348000000,24;4131;134
data,1257030000000,24;4131;135
data,1257030000000,24;4131;136
data,1257030000000,24;4131;137
data,1259622000000,24;4131;138
data,1212271200000,24;5275;138
data,1212271200000,24;8691;138
data,1212271200000,24;6842;138
data,1212271200000,24;8454;138
data,1212271200000,24;8714;138
data,1212271200000,24;5053;138
data,1212271200000,24;5210;138
data,1212271200000,24;8749;138
data,1212271200000,24;7605;138
data,1212271200000,24;6751;138
data,1212271200000,24;4378;138
data,1212271200000,24;8772;139
data,1212271200000,24;6320;139
data,1212271200000,25;8785;139
data,1212271200000,25;8304;139
data,1212271200000,25;3154;139
data,1212271200000,25;8808;139
data,1212271200000,25;643;139
data,1212271200000,25;8304;139
data,1212271200000,26;6159;139
data,1212271200000,26;8839;139
data,1212271200000,26;8110;139
data,1212271200000,26;6279;139
data,1212271200000,26;7310;139
data,1212271200000,26;8864;139
data,1212271200000,26;5504;139
data,1212271200000,26;8454;139
data,1212271200000,26;7630;139
data,1212271200000,26;5946;139
data,1212271200000,26;7003;139
data,1212271200000,26;320;139
data,1212271200000,26;8914;139
data,1212271200000,26;8922;139
data,1212271200000,26;8276;139
data,1212271200000,26;6294;139
data,1212271200000,26;8936;139
data,1212271200000,26;2485;139
data,1212271200000,26;7768;139
data,1212271200000,26;8960;139
data,1212271200000,26;8969;139
data,1212271200000,27;4800;139
data,1212271200000,27;6021;139
data,1212271200000,27;8304;139
data,1212271200000,27;7925;139
data,1212271200000,27;4031;139
data,1212271200000,27;8033;139
data,1212271200000,27;9020;139
data,1214863200000,27;5235;139
data,1214863200000,27;8099;139
data,1214863200000,27;7605;139
data,1214863200000,27;267;139
data,1214863200000,27;9067;139
data,1217541600000,27;9072;139
data,1217541600000,27;8171;139
data,1217541600000,27;7753;139
data,1217541600000,27;2788;139
data,1217541600000,27;5003;139
data,1217541600000,27;3423;139
data,1217541600000,27;9115;139
data,1217541600000,27;8994;139
data,1217541600000,27;6020;139
data,1217541600000,28;2724;139
data,1217541600000,28;7257;139
data,1217541600000,28;5283;139
data,1217541600000,28;7712;139
data,1217541600000,28;529;139
data,1217541600000,28;9169;139
data,1217541600000,28;1834;139
data,1217541600000,28;9187;139
data,1217541600000,28;4800;139
data,1217541600000,28;137;139
data,1217541600000,28;8640;139
data,1217541600000,28;5878;139
data,1217541600000,28;6473;139
data,1217541600000,28;9228;139
data,1217541600000,29;4674;139
data,1217541600000,29;9236;139
data,1217541600000,29;9245;139
data,1217541600000,29;975;139
data,1217541600000,30;9259;139
data,1217541600000,30;2111;139
data,1217541600000,30;5629;139
data,1217541600000,30;346;139
data,1217541600000,30;1857;139
data,1217541600000,30;935;139
data,1217541600000,30;9293;139
data,1217541600000,30;9303;139
data,1217541600000,30;6021;139
data,1217541600000,30;2383;139
data,1217541600000,30;5796;139
data,1217541600000,30;6777;139
data,1217541600000,30;8691;139
data,1217541600000,30;8633;139
data,1217541600000,30;6622;139
data,1217541600000,30;2264;139
data,1217541600000,30;3120;139
data,1217541600000,30;9372;139
data,1217541600000,30;5647;139
data,1217541600000,30;2869;139
data,1217541600000,30;5068;139
data,1217541600000,30;4668;139
data,1217541600000,30;8218;139
data,1217541600000,30;378;139
data,1217541600000,30;9431;139
data,1217541600000,30;1187;139
data,1217541600000,30;1717;139
data,1217541600000,30;6620;139
data,1217541600000,30;7630;139
data,1217541600000,30;9465;139
data,1217541600000,30;3705;139
data,1217541600000,30;6477;139
data,1220220000000,30;9485;139
data,1304596176284,31;9491;139
data,1304596177553,31;9496;139
data,1304596187726,32;9505;139
data,1304596191912,32;6106;139
data,1304596194417,32;8864;139
data,1304596197640,32;8647;139
data,1304596214214,32;4048;139
data,1304596215240,32;4668;139
data,1304596223989,32;9537;139
data,1304596226144,32;3030;139
data,1209592800000,32;5430;139
data,1209592800000,32;3439;139
data,1209592800000,32;4434;139
data,1209592800000,32;9115;139
data,1212271200000,32;4525;139
data,1214863200000,32;9575;139
data,1222812000000,32;3625;139
data,1228086000000,32;8713;139
data,1228086000000,33;8355;139
data,1275343200000,33;9491;140
data,1275343200000,33;3910;140
data,1277935200000,33;9372;140
data,1277935200000,33;5594;140
data,1277935200000,33;5234;140
data,1277935200000,33;5033;140
data,1277935200000,33;9636;141
data,1277935200000,33;1844;141
data,1277935200000,33;2674;141
data,1280613600000,33;7310;141
data,1280613600000,33;7950;141
data,1280613600000,33;8944;141
data,1280613600000,33;9187;141
data,1285884000000,33;9236;141
data,1285884000000,33;2724;141
data,1285884000000,33;7333;141
data,1285884000000,33;1951;142
data,1285884000000,34;4335;142
data,1285884000000,34;7630;142
data,1285884000000,34;2051;142
data,1285884000000,34;3868;142
data,1285884000000,34;9717;142
data,1285884000000,34;3857;142
data,1285884000000,34;1559;142
data,1285884000000,34;3251;142
data,1285884000000,34;41;142
data,1285884000000,35;4522;142
data,1285884000000,35;5442;142
data,1285884000000,35;8556;143
data,1285884000000,35;9761;143
data,1285884000000,35;8294;143
data,1285884000000,35;9415;144
data,1285884000000,35;3283;145
data,1285884000000,35;1416;145
data,1285884000000,35;6513;145
data,1288566000000,35;301;145
data,1288566000000,35;910;145
data,1288566000000,35;9800;145
data,1288566000000,35;5946;145
data,1288566000000,35;3437;145
data,1288566000000,35;1211;145
data,1288566000000,35;925;146
data,1288566000000,35;9761;146
data,1288566000000,35;8749;146
data,1291158000000,35;7768;146
data,1291158000000,35;8460;146
data,1291158000000,35;8576;146
data,1291158000000,35;4479;146
data,1291158000000,36;7153;146
data,1293836400000,36;6777;146
data,1293836400000,36;9868;146
data,1296514800000,36;2242;146
data,1296514800000,36;9881;146
data,1298934000000,36;9885;146
data,1304596239074,36;9259;146
data,1304596242695,36;8514;146
data,1304596260969,36;9900;146
data,1304596272248,36;9909;146
data,1304596273351,36;7275;146
data,1157061600000,36;378;147
data,1157061600000,36;7310;148
data,1157061600000,36;9868;148
data,1157061600000,36;4483;149
data,1157061600000,36;7950;150
data,1157061600000,36;5324;150
data,1157061600000,36;709;150
data,1157061600000,36;9962;150
data,1157061600000,36;7835;150
data,1157061600000,36;4237;150
data,1157061600000,36;7788;151
data,1157061600000,36;1057;151
data,1157061600000,36;1406;151
data,1157061600000,36;2063;151
data,1157061600000,36;9187;152
data,1157061600000,36;5033;153
data,1157061600000,36;57;154
data,1157061600000,36;9265;154
data,1157061600000,36;6141;154
data,1164927600000,37;1873;154
data,1164927600000,37;7950;155
data,1267398000000,37;3481;155
data,1285884000000,37;10038;155
data,1288566000000,37;4640;155
data,1249077600000,37;10045;155
data,1249077600000,37;6184;155
data,1249077600000,37;2395;155
data,1249077600000,37;1070;155
data,1249077600000,37;10068;155
data,1249077600000,37;1545;155
data,1249077600000,37;1901;155
data,1249077600000,37;251;155
data,1249077600000,37;4972;155
data,1249077600000,37;5629;155
data,1249077600000,37;4479;155
data,1249077600000,37;4827;155
data,1249077600000,37;3813;155
data,1249077600000,37;2174;155
data,1249077600000,37;9236;155
data,1249077600000,37;10125;155
data,1249077600000,37;7321;155
data,1249077600000,37;4290;155
data,1249077600000,37;1148;155
data,1249077600000,37;3558;155
