New Run at  08/09/2018 10:38:00
, Time, RandomReward; dLinUCB_Likelihood_UniformReward, ClusterID;UserID;dLinUCB_Likelihood_UniformModelUsed,
data,1272664800000,17;2051;81.0,0;11;1
data,1272664800000,17;7498;81.0,0;11;1
data,1272664800000,17;7501;81.0,0;11;1
data,1272664800000,17;2658;82.0,0;11;1
data,1272664800000,17;1069;82.0,0;11;1
data,1272664800000,17;7206;82.0,0;11;1
data,1272664800000,17;2559;82.0,0;11;1
data,1272664800000,17;2637;82.0,0;11;1
data,1272664800000,17;601;83.0,0;11;1
data,1272664800000,17;6777;83.0,0;11;1
data,1272664800000,17;579;83.0,0;11;1
data,1272664800000,17;4389;83.0,0;11;1
data,1272664800000,17;2242;83.0,0;11;1
data,1272664800000,17;7616;83.0,0;11;1
data,1272664800000,17;2395;84.0,0;11;1
data,1272664800000,17;7630;84.0,0;11;1
data,1272664800000,17;2034;85.0,0;11;1
data,1272664800000,17;411;86.0,0;11;1
data,1275343200000,17;7664;86.0,0;11;1
data,1275343200000,17;7681;86.0,0;11;1
data,1277935200000,17;3299;87.0,0;11;1
data,1277935200000,17;2788;87.0,0;11;1
data,1280613600000,17;7715;87.0,0;11;1
data,1280613600000,17;6701;87.0,0;11;1
data,1280613600000,17;7730;88.0,0;11;1
data,1280613600000,17;6329;88.0,0;11;1
data,1280613600000,17;7753;89.0,0;11;1
data,1280613600000,17;7760;89.0,0;11;1
data,1280613600000,17;7768;90.0,0;11;1
data,1280613600000,17;123;91.0,0;11;1
data,1280613600000,17;7779;92.0,0;11;1
data,1280613600000,17;7788;93.0,0;11;1
data,1280613600000,17;3662;94.0,0;11;1
data,1280613600000,17;7814;94.0,0;11;1
data,1280613600000,17;5287;94.0,0;11;1
data,1280613600000,17;7835;95.0,0;11;1
data,1283292000000,17;7857;95.0,0;11;1
data,1285884000000,17;2539;95.0,0;11;1
data,1285884000000,17;7870;95.0,0;11;1
data,1285884000000,17;2922;96.0,0;11;1
data,1285884000000,17;7885;97.0,0;11;1
data,1285884000000,17;925;98.0,0;11;1
data,1285884000000,17;3423;99.0,0;11;1
data,1285884000000,17;7911;100.0,0;11;1
data,1285884000000,17;1661;100.0,0;11;1
data,1285884000000,17;2763;100.0,0;11;1
data,1285884000000,17;7942;101.0,0;11;1
data,1285884000000,17;7950;101.0,0;11;1
data,1285884000000,17;7321;101.0,0;11;1
data,1285884000000,18;1882;101.0,0;11;1
data,1285884000000,18;228;101.0,0;11;1
data,1285884000000,18;5324;101.0,0;11;1
data,1285884000000,18;1549;102.0,0;11;1
data,1288566000000,18;4750;103.0,0;11;1
data,1288566000000,18;8005;104.0,0;11;1
data,1288566000000,18;8012;105.0,0;11;1
data,1288566000000,19;4453;105.0,0;11;1
data,1288566000000,19;3213;106.0,0;11;1
data,1288566000000,19;2707;106.0,0;11;1
data,1288566000000,19;8049;107.0,0;11;1
data,1288566000000,19;4131;108.0,0;11;1
data,1291158000000,19;5275;108.0,0;11;1
data,1291158000000,19;8078;108.0,0;11;1
data,1291158000000,19;8086;108.0,0;11;1
data,1291158000000,19;4157;108.0,0;11;1
data,1291158000000,19;5205;108.0,0;11;1
data,1291158000000,19;4628;108.0,0;11;1
data,1291158000000,19;5576;109.0,0;11;1
data,1291158000000,19;8134;109.0,0;11;1
data,1291158000000,19;7753;110.0,0;11;1
data,1291158000000,19;5903;110.0,0;11;1
data,1291158000000,19;4596;111.0,0;11;1
data,1291158000000,19;8171;112.0,0;11;1
data,1291158000000,19;4182;113.0,0;11;1
data,1291158000000,19;1341;114.0,0;11;1
data,1291158000000,19;1391;114.0,0;11;1
data,1291158000000,19;8209;115.0,0;11;1
data,1291158000000,19;8218;116.0,0;11;1
data,1291158000000,19;2013;116.0,0;11;1
data,1291158000000,19;8240;116.0,0;11;1
data,1291158000000,19;8258;116.0,0;11;1
data,1291158000000,19;8263;117.0,0;11;1
data,1293836400000,19;8276;117.0,0;11;1
data,1293836400000,19;3891;118.0,0;11;1
data,1293836400000,19;5292;118.0,0;11;1
data,1293836400000,19;8304;119.0,0;11;1
data,1293836400000,20;8263;120.0,0;11;1
data,1293836400000,20;8320;120.0,0;11;1
data,1293836400000,20;4324;120.0,0;11;1
data,1293836400000,20;1350;120.0,0;11;1
data,1293836400000,20;8339;121.0,0;11;1
data,1293836400000,20;5900;121.0,0;11;1
data,1293836400000,20;4154;121.0,0;11;1
data,1293836400000,20;5612;121.0,0;11;1
data,1293836400000,20;8376;121.0,0;11;1
data,1293836400000,20;4826;121.0,0;11;1
data,1293836400000,20;4816;121.0,0;11;1
data,1293836400000,20;3477;121.0,0;11;1
data,1293836400000,20;3874;121.0,0;11;1
data,1293836400000,20;2247;121.0,0;11;1
data,1293836400000,20;3061;121.0,0;11;1
data,1296514800000,20;1866;121.0,0;11;1
data,1296514800000,20;7630;121.0,0;11;1
data,1298934000000,20;3039;121.0,0;11;1
data,1298934000000,20;8450;121.0,0;11;1
data,1298934000000,20;8460;122.0,0;11;1
data,1298934000000,20;109;122.0,0;11;1
data,1304596135526,20;8481;122.0,0;11;1
data,1246399200000,20;8304;123.0,0;12;1
data,1246399200000,20;2215;123.0,0;12;1
data,1246399200000,20;4131;124.0,0;12;1
data,1246399200000,20;5033;125.0,0;12;1
data,1246399200000,20;4131;126.0,0;12;1
data,1246399200000,20;8263;127.0,0;12;1
data,1246399200000,20;7950;128.0,0;12;1
data,1246399200000,20;4131;129.0,0;12;1
data,1251756000000,20;8544;130.0,0;12;1
data,1251756000000,20;8304;131.0,0;12;1
data,1251756000000,20;1857;131.0,0;12;1
data,1251756000000,20;8304;132.0,0;12;1
data,1251756000000,20;8171;132.0,0;12;1
data,1251756000000,20;5068;132.0,0;12;1
data,1251756000000,20;1335;132.0,0;12;1
data,1254348000000,20;4674;132.0,0;12;1
data,1254348000000,20;4131;133.0,0;12;1
data,1254348000000,20;6199;133.0,0;12;1
data,1254348000000,20;8633;133.0,0;12;1
data,1254348000000,20;8640;133.0,0;12;1
data,1254348000000,20;4131;134.0,0;12;1
data,1257030000000,20;4131;135.0,0;12;1
data,1257030000000,21;4131;136.0,0;12;1
data,1257030000000,21;4131;137.0,0;12;1
data,1259622000000,21;4131;138.0,0;12;1
data,1212271200000,21;5275;138.0,0;13;1
data,1212271200000,21;8691;138.0,0;13;1
data,1212271200000,21;6842;138.0,0;13;1
data,1212271200000,21;8454;138.0,0;13;1
data,1212271200000,21;8714;138.0,0;13;1
data,1212271200000,21;5053;138.0,0;13;1
data,1212271200000,21;5210;138.0,0;13;1
data,1212271200000,21;8749;138.0,0;13;1
data,1212271200000,21;7605;138.0,0;13;1
