New Run at  08/08/2018 22:53:11
, Time, RandomReward; M_LinUCBReward, ClusterID;UserID;M_LinUCBModelUsed,
data,1264978800000,18;529;64.0,37;11
data,1264978800000,18;5393;64.0,37;11
data,1264978800000,18;5311;64.0,37;11
data,1264978800000,18;6654;64.0,37;11
data,1264978800000,18;689;65.0,37;11
data,1264978800000,18;4100;66.0,37;11
data,1264978800000,18;7153;66.0,37;11
data,1264978800000,18;7162;66.0,37;11
data,1264978800000,18;7176;66.0,37;11
data,1264978800000,18;7186;66.0,37;11
data,1267398000000,18;7192;67.0,37;11
data,1267398000000,18;6777;67.0,37;11
data,1267398000000,18;1350;67.0,37;11
data,1267398000000,18;7220;67.0,37;11
data,1267398000000,18;1057;68.0,37;11
data,1267398000000,18;1594;68.0,37;11
data,1267398000000,18;6128;68.0,37;11
data,1267398000000,18;7258;68.0,37;11
data,1267398000000,18;253;69.0,37;11
data,1267398000000,18;7277;69.0,37;11
data,1267398000000,18;5230;69.0,37;11
data,1267398000000,18;7302;69.0,37;11
data,1270072800000,18;7304;70.0,37;11
data,1270072800000,18;3266;70.0,37;11
data,1272664800000,18;7332;70.0,37;11
data,1272664800000,18;4434;71.0,37;11
data,1272664800000,18;5722;71.0,37;11
data,1272664800000,18;5513;71.0,37;11
data,1272664800000,18;1555;71.0,37;11
data,1272664800000,18;7398;71.0,37;11
data,1272664800000,18;2539;71.0,37;11
data,1272664800000,18;1187;71.0,37;11
data,1272664800000,18;2013;71.0,37;11
data,1272664800000,18;7444;71.0,37;11
data,1272664800000,18;7459;71.0,37;11
data,1272664800000,18;1161;71.0,37;11
data,1272664800000,18;7483;71.0,37;11
data,1272664800000,18;7493;71.0,37;11
data,1272664800000,18;7499;71.0,37;11
data,1272664800000,18;5657;71.0,37;11
data,1272664800000,18;1069;71.0,37;11
data,1272664800000,18;7206;71.0,37;11
data,1272664800000,18;2559;71.0,37;11
data,1272664800000,18;7557;71.0,37;11
data,1272664800000,18;1953;71.0,37;11
data,1272664800000,18;6777;71.0,37;11
data,1272664800000,18;579;71.0,37;11
data,1272664800000,18;3311;71.0,37;11
data,1272664800000,18;2242;71.0,37;11
data,1272664800000,18;7616;71.0,37;11
data,1272664800000,18;2395;72.0,37;11
data,1272664800000,18;822;72.0,37;11
data,1272664800000,18;2034;73.0,37;11
data,1272664800000,18;411;74.0,37;11
data,1275343200000,18;1597;74.0,37;11
data,1275343200000,18;7681;74.0,37;11
data,1277935200000,18;5622;74.0,37;11
data,1277935200000,18;5605;74.0,37;11
data,1280613600000,18;7715;74.0,37;11
data,1280613600000,18;3111;74.0,37;11
data,1280613600000,18;7730;75.0,37;11
data,1280613600000,18;6329;75.0,37;11
data,1280613600000,18;5861;75.0,37;11
data,1280613600000,18;6464;75.0,37;11
data,1280613600000,18;7772;75.0,37;11
data,1280613600000,18;123;76.0,37;11
data,1280613600000,18;6612;76.0,37;11
data,1280613600000,18;7793;76.0,37;11
data,1280613600000,18;3662;77.0,37;11
data,1280613600000,18;7815;77.0,37;11
data,1280613600000,18;5287;77.0,37;11
data,1280613600000,18;7835;78.0,37;11
