New Run at  07/13/2017 15:50:07
, Time, RandomReward; Master_UniformLCBReward; 
data,1304596460325,45;8788;285
data,1304596460341,45;131;286
data,1304596460217,45;5470;287
data,1304596460266,45;2855;288
data,1304596460283,45;7197;289
data,1304596460400,45;7603;289
data,1304596460125,45;8110;289
data,1304596460175,45;10361;289
data,1304596461199,45;7430;290
data,1304596461090,45;6008;291
data,1304596461215,45;6907;291
data,1304596461057,46;3103;292
data,1304596461182,46;8435;293
data,1304596461041,46;2111;294
data,1304596461787,46;6702;295
data,1304596461074,46;9180;296
data,1304596462417,46;2111;297
data,1304596462581,46;9653;298
data,1304596462547,46;7430;299
data,1304596462481,46;6702;300
data,1304596463257,46;7430;301
data,1304596463289,46;9653;302
data,1304596463272,46;5470;303
data,1304596463231,46;4915;303
data,1304596463164,46;76;303
data,1304596463198,46;6702;304
data,1304596463142,46;2111;305
data,1304596464697,46;1016;306
data,1304596465653,46;3127;307
data,1304596465575,46;2111;308
data,1304596467368,46;516;309
data,1304596467476,46;6492;310
data,1304596467385,46;10460;310
data,1304596467460,46;9490;310
data,1304596467351,46;7197;311
data,1304596468367,47;4807;311
data,1304596468307,47;9180;312
data,1304596468384,47;7430;313
data,1304596471272,47;3127;314
data,1304596471197,47;2111;315
data,1304596471214,47;6702;316
data,1304596471289,47;9653;317
data,1304596471231,47;8435;318
data,1304596471257,47;8502;318
data,1304596472879,47;6702;319
data,1304596472813,47;2111;320
data,1304596472970,47;7430;321
data,1304596472912,47;10516;321
data,1304596473004,47;9653;322
data,1304596474266,47;7566;322
