New Run at  07/24/2017 14:49:10
, Time, RandomReward; UniformAdTSReward; 
data,1304596448154,35;8375;183
data,1304596448096,35;10107;183
data,1304596448063,35;3127;184
data,1304596448121,35;9367;185
data,1304596448029,35;5224;186
data,1304596448079,35;168;187
data,1304596448712,35;3275;188
data,1304596448013,35;245;189
data,1304596449570,35;3103;190
data,1304596449669,35;9653;191
data,1304596449636,35;7430;192
data,1304596450735,35;3095;192
data,1304596450723,35;3103;193
data,1304596450851,36;4327;193
data,1304596450835,36;8435;194
data,1304596450793,36;1016;195
data,1304596450244,36;3127;196
data,1304596450818,36;131;197
data,1304596450190,36;516;198
data,1304596450210,36;8435;199
data,1304596451393,36;1350;199
data,1304596453865,36;9000;199
data,1304596453832,36;6999;200
data,1304596453940,36;168;201
data,1304596453973,36;1744;201
data,1304596453898,36;4313;201
data,1304596453815,36;5408;201
data,1304596453956,36;8941;201
data,1304596454023,36;6702;202
data,1304596454006,36;9141;202
data,1304596454065,36;6724;202
data,1304596455056,36;6999;203
data,1304596455088,36;6702;204
data,1304596455030,36;7197;205
data,1304596455014,36;9180;206
data,1304596455986,36;2111;207
data,1304596455072,36;6670;208
data,1304596455163,36;6492;209
data,1304596456096,36;8594;209
data,1304596456112,36;9653;210
data,1304596456021,36;9802;210
data,1304596456079,36;7430;211
data,1304596458131,36;2111;212
data,1304596458194,36;10295;212
data,1304596458378,37;7754;212
data,1304596458393,37;6702;213
data,1304596458486,37;7430;214
data,1304596459127,37;6702;215
data,1304596459192,37;7430;216
data,1304596459079,37;2111;217
data,1304596459101,37;8407;217
data,1304596459209,37;9653;218
data,1304596459176,37;7205;218
data,1304596460233,37;4453;218
data,1304596460325,37;8788;218
data,1304596460341,37;131;219
data,1304596460217,37;5470;220
data,1304596460266,37;2855;221
data,1304596460283,37;7197;222
data,1304596460400,37;1914;222
data,1304596460125,37;8110;222
data,1304596460175,37;10361;222
data,1304596461199,37;7775;222
data,1304596461090,37;6008;223
data,1304596461215,37;6907;223
data,1304596461057,37;3103;224
data,1304596461182,37;8435;225
data,1304596461041,38;2111;226
data,1304596461787,38;6702;227
data,1304596461074,38;9180;228
data,1304596462417,39;2111;229
data,1304596462581,40;9653;230
data,1304596462547,40;7430;231
data,1304596462481,40;6702;232
data,1304596463257,40;7430;233
data,1304596463289,40;9653;234
data,1304596463272,40;5470;235
data,1304596463231,40;4915;235
data,1304596463164,40;76;235
data,1304596463198,40;6702;236
data,1304596463142,40;2111;237
data,1304596464697,40;1016;238
data,1304596465653,40;3127;239
data,1304596465575,40;2111;240
data,1304596467368,40;516;241
data,1304596467476,40;6492;242
data,1304596467385,40;10460;242
data,1304596467460,40;9490;242
data,1304596467351,40;7197;243
data,1304596468367,40;4807;243
data,1304596468307,40;9180;244
data,1304596468384,40;7430;245
data,1304596471272,40;3127;246
data,1304596471197,40;2111;247
data,1304596471214,40;6702;248
data,1304596471289,40;9653;249
data,1304596471231,40;8435;250
data,1304596471257,40;8502;250
data,1304596472879,40;6702;251
data,1304596472813,40;2111;252
data,1304596472970,40;7430;253
data,1304596472912,40;10516;253
data,1304596473004,40;9653;254
data,1304596474266,40;7566;254
